Type,,,,,,,,,,,,,,,,,,,,,,,,,
protein,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
protein,K,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
protein,L,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
protein,M,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
protein,N,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
protein,O,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
protein,P,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
compound,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
compound,A,cmpd1,cmpd1,cmpd1,cmpd2,cmpd2,cmpd2,protein,protein,protein,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
compound,B,cmpd1,cmpd1,cmpd1,cmpd2,cmpd2,cmpd2,protein,protein,protein,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
compound,C,cmpd1,cmpd1,cmpd1,cmpd2,cmpd2,cmpd2,protein,protein,protein,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
compound,D,cmpd1,cmpd1,cmpd1,cmpd2,cmpd2,cmpd2,protein,protein,protein,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
compound,E,cmpd1,cmpd1,cmpd1,cmpd2,cmpd2,cmpd2,protein,protein,protein,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
compound,F,cmpd1,cmpd1,cmpd1,cmpd2,cmpd2,cmpd2,protein,protein,protein,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
compound,G,cmpd1,cmpd1,cmpd1,cmpd2,cmpd2,cmpd2,protein,protein,protein,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
compound,H,cmpd1,cmpd1,cmpd1,cmpd2,cmpd2,cmpd2,protein,protein,protein,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
compound,I,buffer,buffer,buffer,buffer,buffer,buffer,buffer,buffer,buffer,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
compound,J,buffer,buffer,buffer,buffer,buffer,buffer,buffer,buffer,buffer,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
compound,K,buffer,buffer,buffer,buffer,buffer,buffer,buffer,buffer,buffer,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
compound,L,buffer,buffer,buffer,buffer,buffer,buffer,buffer,buffer,buffer,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
compound,M,buffer,buffer,buffer,buffer,buffer,buffer,buffer,buffer,buffer,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
compound,N,buffer,buffer,buffer,buffer,buffer,buffer,buffer,buffer,buffer,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
compound,O,buffer,buffer,buffer,buffer,buffer,buffer,buffer,buffer,buffer,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
compound,P,buffer,buffer,buffer,buffer,buffer,buffer,buffer,buffer,buffer,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
comoound_conc,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
comoound_conc,A,25uM,25uM,25uM,25uM,25uM,25uM,protein,protein,protein,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
comoound_conc,B,12.5uM,12.5uM,12.5uM,12.5uM,12.5uM,12.5uM,protein,protein,protein,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
comoound_conc,C,6.3uM,6.3uM,6.3uM,6.3uM,6.3uM,6.3uM,protein,protein,protein,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
comoound_conc,D,0uM,0uM,0uM,0uM,0uM,0uM,protein,protein,protein,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
comoound_conc,E,25uM,25uM,25uM,25uM,25uM,25uM,protein,protein,protein,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
comoound_conc,F,12.5uM,12.5uM,12.5uM,12.5uM,12.5uM,12.5uM,protein,protein,protein,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
comoound_conc,G,6.3uM,6.3uM,6.3uM,6.3uM,6.3uM,6.3uM,protein,protein,protein,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
comoound_conc,H,0uM,0uM,0uM,0uM,0uM,0uM,protein,protein,protein,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
comoound_conc,I,buffer,buffer,buffer,buffer,buffer,buffer,buffer,buffer,buffer,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
comoound_conc,J,buffer,buffer,buffer,buffer,buffer,buffer,buffer,buffer,buffer,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
comoound_conc,K,buffer,buffer,buffer,buffer,buffer,buffer,buffer,buffer,buffer,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
comoound_conc,L,buffer,buffer,buffer,buffer,buffer,buffer,buffer,buffer,buffer,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
comoound_conc,M,buffer,buffer,buffer,buffer,buffer,buffer,buffer,buffer,buffer,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
comoound_conc,N,buffer,buffer,buffer,buffer,buffer,buffer,buffer,buffer,buffer,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
comoound_conc,O,buffer,buffer,buffer,buffer,buffer,buffer,buffer,buffer,buffer,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
comoound_conc,P,buffer,buffer,buffer,buffer,buffer,buffer,buffer,buffer,buffer,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
