Type																									
Dye		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
DNA	C	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	601DNA	Empty	Empty	Empty	Empty	Empty	Empty
DNA	D	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	Empty	Empty	Empty	Empty	Empty	Empty
DNA	E	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	Empty	Empty	Empty	Empty	Empty	Empty
DNA	F	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	Empty	Empty	Empty	Empty	Empty	Empty
DNA	G	None	None	None	None	None	None	None	None	None	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	601DNAgg	Empty	Empty	Empty	Empty	Empty	Empty
DNA	H	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Empty	Empty	Empty	Empty	Empty	Empty
DNA	I	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Empty	Empty	Empty	Empty	Empty	Empty
DNA	J	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
DNA	K	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
DNA	L	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
DNA	M	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
DNA	N	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
DNA	O	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
DNA	P	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
Polyamide		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
Polyamide	A	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Empty	Empty	Empty	Empty	Empty	Empty
Polyamide	B	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Empty	Empty	Empty	Empty	Empty	Empty
Polyamide	C	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Empty	Empty	Empty	Empty	Empty	Empty
Polyamide	D	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Empty	Empty	Empty	Empty	Empty	Empty
Polyamide	E	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Empty	Empty	Empty	Empty	Empty	Empty
Polyamide	F	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Empty	Empty	Empty	Empty	Empty	Empty
Polyamide	G	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Empty	Empty	Empty	Empty	Empty	Empty
Polyamide	H	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Polyamide 1	Empty	Empty	Empty	Empty	Empty	Empty
Polyamide	I	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Polyamide 2	Empty	Empty	Empty	Empty	Empty	Empty
Polyamide	J	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	None	None	None	None	None	None	None	None	None	Empty	Empty	Empty	Empty	Empty	Empty
Polyamide	K	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
Polyamide	L	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
Polyamide	M	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
Polyamide	N	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
Polyamide	O	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
Polyamide	P	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
DNA_conc		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
DNA_conc	A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Empty	Empty	Empty	Empty	Empty	Empty
DNA_conc	B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Empty	Empty	Empty	Empty	Empty	Empty
DNA_conc	C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Empty	Empty	Empty	Empty	Empty	Empty
DNA_conc	D	1	1	1	1	1	1	1	1	1	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	Empty	Empty	Empty	Empty	Empty	Empty
DNA_conc	E	1	1	1	1	1	1	1	1	1	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	Empty	Empty	Empty	Empty	Empty	Empty
DNA_conc	F	1	1	1	1	1	1	1	1	1	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	Empty	Empty	Empty	Empty	Empty	Empty
DNA_conc	G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Empty	Empty	Empty	Empty	Empty	Empty
DNA_conc	H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Empty	Empty	Empty	Empty	Empty	Empty
DNA_conc	I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Empty	Empty	Empty	Empty	Empty	Empty
DNA_conc	J	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	1	1	1	1	1	1	1	1	1	Empty	Empty	Empty	Empty	Empty	Empty
DNA_conc	K	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
DNA_conc	L	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
DNA_conc	M	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
DNA_conc	N	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
DNA_conc	O	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
DNA_conc	P	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
